,County,Income,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,normalized_incomes
0,Baldwin,51348.0,Baldwin,Baldwin,Baldwin County,1003,AL,Alabama,30.7276,-87.7226,227131,0.8890465612160746
1,Baldwin,51348.0,Baldwin,Baldwin,Baldwin County,13009,GA,Georgia,33.0693,-83.2496,43876,0.8890465612160746
2,Baldwin,37833.0,Baldwin,Baldwin,Baldwin County,1003,AL,Alabama,30.7276,-87.7226,227131,0.9392519892716776
3,Baldwin,37833.0,Baldwin,Baldwin,Baldwin County,13009,GA,Georgia,33.0693,-83.2496,43876,0.9392519892716776
4,Barbour,37120.0,Barbour,Barbour,Barbour County,1005,AL,Alabama,31.8696,-85.3932,25259,0.9419006367155286
5,Barbour,37120.0,Barbour,Barbour,Barbour County,54001,WV,West Virginia,39.133,-80.003,15600,0.9419006367155286
6,Barbour,38258.0,Barbour,Barbour,Barbour County,1005,AL,Alabama,31.8696,-85.3932,25259,0.937673202225904
7,Barbour,38258.0,Barbour,Barbour,Barbour County,54001,WV,West Virginia,39.133,-80.003,15600,0.937673202225904
8,Bibb,34598.0,Bibb,Bibb,Bibb County,13021,GA,Georgia,32.8065,-83.6974,156711,0.9512693447848021
9,Bibb,34598.0,Bibb,Bibb,Bibb County,1007,AL,Alabama,32.9986,-87.1265,22412,0.9512693447848021
10,Bibb,43592.0,Bibb,Bibb,Bibb County,13021,GA,Georgia,32.8065,-83.6974,156711,0.9178584961031822
11,Bibb,43592.0,Bibb,Bibb,Bibb County,1007,AL,Alabama,32.9986,-87.1265,22412,0.9178584961031822
12,Blount,38351.0,Blount,Blount,Blount County,47009,TN,Tennessee,35.6872,-83.9255,134042,0.9373277264723582
13,Blount,38351.0,Blount,Blount,Blount County,1009,AL,Alabama,33.9809,-86.5674,58884,0.9373277264723582
14,Blount,49002.0,Blount,Blount,Blount County,47009,TN,Tennessee,35.6872,-83.9255,134042,0.8977614657087454
15,Blount,49002.0,Blount,Blount,Blount County,1009,AL,Alabama,33.9809,-86.5674,58884,0.8977614657087454
16,Bullock,30429.0,Bullock,Bullock,Bullock County,1011,AL,Alabama,32.1005,-85.7157,10386,0.9667563170055796
17,Butler,41151.0,Butler,Butler,Butler County,39017,OH,Ohio,39.4386,-84.5756,387830,0.9269263059354963
18,Butler,41151.0,Butler,Butler,Butler County,42019,PA,Pennsylvania,40.912,-79.9133,192561,0.9269263059354963
19,Butler,41151.0,Butler,Butler,Butler County,20015,KS,Kansas,37.7812,-96.839,67404,0.9269263059354963
20,Butler,41151.0,Butler,Butler,Butler County,29023,MO,Missouri,36.7164,-90.4066,42314,0.9269263059354963
21,Butler,41151.0,Butler,Butler,Butler County,1013,AL,Alabama,31.7524,-86.6803,19181,0.9269263059354963
22,Butler,41151.0,Butler,Butler,Butler County,19023,IA,Iowa,42.7316,-92.7902,14421,0.9269263059354963
23,Butler,41151.0,Butler,Butler,Butler County,21031,KY,Kentucky,37.2073,-86.6816,12413,0.9269263059354963
24,Butler,41151.0,Butler,Butler,Butler County,31023,NE,Nebraska,41.2261,-97.1318,8354,0.9269263059354963
25,Butler,49855.0,Butler,Butler,Butler County,39017,OH,Ohio,39.4386,-84.5756,387830,0.8945927472380514
26,Butler,49855.0,Butler,Butler,Butler County,42019,PA,Pennsylvania,40.912,-79.9133,192561,0.8945927472380514
27,Butler,49855.0,Butler,Butler,Butler County,20015,KS,Kansas,37.7812,-96.839,67404,0.8945927472380514
28,Butler,49855.0,Butler,Butler,Butler County,29023,MO,Missouri,36.7164,-90.4066,42314,0.8945927472380514
29,Butler,49855.0,Butler,Butler,Butler County,1013,AL,Alabama,31.7524,-86.6803,19181,0.8945927472380514
30,Butler,49855.0,Butler,Butler,Butler County,19023,IA,Iowa,42.7316,-92.7902,14421,0.8945927472380514
31,Butler,49855.0,Butler,Butler,Butler County,21031,KY,Kentucky,37.2073,-86.6816,12413,0.8945927472380514
32,Butler,49855.0,Butler,Butler,Butler County,31023,NE,Nebraska,41.2261,-97.1318,8354,0.8945927472380514
33,Butler,49703.0,Butler,Butler,Butler County,39017,OH,Ohio,39.4386,-84.5756,387830,0.895157395781481
34,Butler,49703.0,Butler,Butler,Butler County,42019,PA,Pennsylvania,40.912,-79.9133,192561,0.895157395781481
35,Butler,49703.0,Butler,Butler,Butler County,20015,KS,Kansas,37.7812,-96.839,67404,0.895157395781481
36,Butler,49703.0,Butler,Butler,Butler County,29023,MO,Missouri,36.7164,-90.4066,42314,0.895157395781481
37,Butler,49703.0,Butler,Butler,Butler County,1013,AL,Alabama,31.7524,-86.6803,19181,0.895157395781481
38,Butler,49703.0,Butler,Butler,Butler County,19023,IA,Iowa,42.7316,-92.7902,14421,0.895157395781481
39,Butler,49703.0,Butler,Butler,Butler County,21031,KY,Kentucky,37.2073,-86.6816,12413,0.895157395781481
40,Butler,49703.0,Butler,Butler,Butler County,31023,NE,Nebraska,41.2261,-97.1318,8354,0.895157395781481
41,Butler,39306.0,Butler,Butler,Butler County,39017,OH,Ohio,39.4386,-84.5756,387830,0.9337800991106785
42,Butler,39306.0,Butler,Butler,Butler County,42019,PA,Pennsylvania,40.912,-79.9133,192561,0.9337800991106785
43,Butler,39306.0,Butler,Butler,Butler County,20015,KS,Kansas,37.7812,-96.839,67404,0.9337800991106785
44,Butler,39306.0,Butler,Butler,Butler County,29023,MO,Missouri,36.7164,-90.4066,42314,0.9337800991106785
45,Butler,39306.0,Butler,Butler,Butler County,1013,AL,Alabama,31.7524,-86.6803,19181,0.9337800991106785
46,Butler,39306.0,Butler,Butler,Butler County,19023,IA,Iowa,42.7316,-92.7902,14421,0.9337800991106785
47,Butler,39306.0,Butler,Butler,Butler County,21031,KY,Kentucky,37.2073,-86.6816,12413,0.9337800991106785
48,Butler,39306.0,Butler,Butler,Butler County,31023,NE,Nebraska,41.2261,-97.1318,8354,0.9337800991106785
49,Butler,40610.0,Butler,Butler,Butler County,39017,OH,Ohio,39.4386,-84.5756,387830,0.92893600897494
50,Butler,40610.0,Butler,Butler,Butler County,42019,PA,Pennsylvania,40.912,-79.9133,192561,0.92893600897494
51,Butler,40610.0,Butler,Butler,Butler County,20015,KS,Kansas,37.7812,-96.839,67404,0.92893600897494
52,Butler,40610.0,Butler,Butler,Butler County,29023,MO,Missouri,36.7164,-90.4066,42314,0.92893600897494
53,Butler,40610.0,Butler,Butler,Butler County,1013,AL,Alabama,31.7524,-86.6803,19181,0.92893600897494
