,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,State,Literacy Rate,normalized_literacy
0,Los Angeles,Los Angeles,Los Angeles County,6037,CA,California,34.3209,-118.2247,10019635,California,71.6,0.9602272727272734
1,Cook,Cook,Cook County,17031,IL,Illinois,41.8401,-87.8168,5265398,Illinois,79.6,0.5056818181818187
2,Harris,Harris,Harris County,48201,TX,Texas,29.8577,-95.3936,4697957,Texas,71.8,0.9488636363636368
3,Maricopa,Maricopa,Maricopa County,4013,AZ,Arizona,33.349,-112.4915,4367186,Arizona,76.6,0.6761363636363642
4,San Diego,San Diego,San Diego County,6073,CA,California,33.0343,-116.735,3296317,California,71.6,0.9602272727272734
5,Orange,Orange,Orange County,6059,CA,California,33.7031,-117.7609,3182923,California,71.6,0.9602272727272734
6,Kings,Kings,Kings County,36047,NY,New York,40.6395,-73.9385,2712360,New York,75.6,0.7329545454545461
7,Miami-Dade,Miami-Dade,Miami-Dade County,12086,FL,Florida,25.615,-80.5623,2690113,Florida,76.3,0.6931818181818186
8,Dallas,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778,2604722,Texas,71.8,0.9488636363636368
9,Riverside,Riverside,Riverside County,6065,CA,California,33.7436,-115.9938,2409331,California,71.6,0.9602272727272734
10,Queens,Queens,Queens County,36081,NY,New York,40.7023,-73.8203,2393104,New York,75.6,0.7329545454545461
11,King,King,King County,53033,WA,Washington,47.4902,-121.8052,2240876,Washington,83.9,0.26136363636363613
12,Clark,Clark,Clark County,32003,NV,Nevada,36.2152,-115.0135,2231147,Nevada,74.7,0.7840909090909092
13,San Bernardino,San Bernardino,San Bernardino County,6071,CA,California,34.8414,-116.1784,2171071,California,71.6,0.9602272727272734
14,Tarrant,Tarrant,Tarrant County,48439,TX,Texas,32.7719,-97.2911,2091953,Texas,71.8,0.9488636363636368
15,Bexar,Bexar,Bexar County,48029,TX,Texas,29.4489,-98.52,1990522,Texas,71.8,0.9488636363636368
16,Broward,Broward,Broward County,12011,FL,Florida,26.1523,-80.4871,1934551,Florida,76.3,0.6931818181818186
17,Santa Clara,Santa Clara,Santa Clara County,6085,CA,California,37.2318,-121.6951,1932022,California,71.6,0.9602272727272734
18,Wayne,Wayne,Wayne County,26163,MI,Michigan,42.2819,-83.2822,1789781,Michigan,82.4,0.34659090909090884
19,Alameda,Alameda,Alameda County,6001,CA,California,37.6469,-121.8888,1673133,California,71.6,0.9602272727272734
20,New York,New York,New York County,36061,NY,New York,40.7785,-73.9674,1669127,New York,75.6,0.7329545454545461
21,Middlesex,Middlesex,Middlesex County,25017,MA,Massachusetts,42.4856,-71.3918,1623411,Massachusetts,82.7,0.3295454545454545
22,Philadelphia,Philadelphia,Philadelphia County,42101,PA,Pennsylvania,40.0077,-75.1339,1596865,Pennsylvania,81.9,0.3749999999999998
23,Sacramento,Sacramento,Sacramento County,6067,CA,California,38.4493,-121.3443,1571767,California,71.6,0.9602272727272734
24,Suffolk,Suffolk,Suffolk County,36103,NY,New York,40.8686,-72.8448,1522998,New York,75.6,0.7329545454545461
25,Palm Beach,Palm Beach,Palm Beach County,12099,FL,Florida,26.6476,-80.4655,1481233,Florida,76.3,0.6931818181818186
26,Bronx,Bronx,Bronx County,36005,NY,New York,40.8501,-73.866,1468262,New York,75.6,0.7329545454545461
27,Hillsborough,Hillsborough,Hillsborough County,12057,FL,Florida,27.9291,-82.3091,1444359,Florida,76.3,0.6931818181818186
28,Orange,Orange,Orange County,12095,FL,Florida,28.5145,-81.3236,1409949,Florida,76.3,0.6931818181818186
29,Nassau,Nassau,Nassau County,36059,NY,New York,40.7328,-73.5865,1391678,New York,75.6,0.7329545454545461
30,Franklin,Franklin,Franklin County,39049,OH,Ohio,39.9695,-83.0093,1313598,Ohio,82.3,0.3522727272727275
31,Oakland,Oakland,Oakland County,26125,MI,Michigan,42.6604,-83.3858,1271983,Michigan,82.4,0.34659090909090884
32,Hennepin,Hennepin,Hennepin County,27053,MN,Minnesota,45.0045,-93.477,1270283,Minnesota,86.9,0.0909090909090906
33,Travis,Travis,Travis County,48453,TX,Texas,30.3344,-97.782,1267795,Texas,71.8,0.9488636363636368
34,Cuyahoga,Cuyahoga,Cuyahoga County,39035,OH,Ohio,41.4243,-81.6586,1263667,Ohio,82.3,0.3522727272727275
35,Allegheny,Allegheny,Allegheny County,42003,PA,Pennsylvania,40.4688,-79.9812,1246116,Pennsylvania,81.9,0.3749999999999998
36,Salt Lake,Salt Lake,Salt Lake County,49035,UT,Utah,40.6673,-111.9236,1173331,Utah,85.5,0.17045454545454553
37,Contra Costa,Contra Costa,Contra Costa County,6013,CA,California,37.9192,-121.9277,1161643,California,71.6,0.9602272727272734
38,Fairfax,Fairfax,Fairfax County,51059,VA,Virginia,38.8368,-77.277,1146825,Virginia,81.2,0.4147727272727273
39,Wake,Wake,Wake County,37183,NC,North Carolina,35.7903,-78.6503,1112883,North Carolina,78.7,0.5568181818181819
40,Mecklenburg,Mecklenburg,Mecklenburg County,37119,NC,North Carolina,35.2467,-80.8328,1100984,North Carolina,78.7,0.5568181818181819
41,Montgomery,Montgomery,Montgomery County,24031,MD,Maryland,39.1363,-77.2042,1057201,Maryland,80.0,0.48295454545454564
42,Fulton,Fulton,Fulton County,13121,GA,Georgia,33.7903,-84.467,1054286,Georgia,76.4,0.6874999999999999
43,Collin,Collin,Collin County,48085,TX,Texas,33.188,-96.5724,1039812,Texas,71.8,0.9488636363636368
44,Pima,Pima,Pima County,4019,AZ,Arizona,32.0974,-111.7899,1035063,Arizona,76.6,0.6761363636363642
45,Honolulu,Honolulu,Honolulu County,15003,HI,Hawaii,21.5008,-158.1053,1015167,Hawaii,84.1,0.25000000000000044
46,Fresno,Fresno,Fresno County,6019,CA,California,36.7582,-119.6493,1003150,California,71.6,0.9602272727272734
47,St. Louis,St. Louis,St. Louis County,29189,MO,Missouri,38.6407,-90.4434,1001982,Missouri,81.1,0.42045454545454586
48,Westchester,Westchester,Westchester County,36119,NY,New York,41.1624,-73.7561,999723,New York,75.6,0.7329545454545461
